id,State,Ugrad2000,Ugrad2010,Ugrad2012,Ugrad2015,Ugrad2016,Ugrad2017
1,Alabama,201389,282128,265917,257649,258008,259562
2,Alaska,26222,31925,30018,28818,25987,24607
3,Arizona,299529,672083,621684,541853,510367,493410
4,Arkansas,104580,156970,157504,148630,145875,143055
5,California,2012213,2444496,2359805,2415506,2416526,2415337
6,Colorado,220059,312099,305465,289534,293223,299805
7,Connecticut,127715,163291,166812,162925,160651,160568
8,Delaware,37930,45848,47815,47981,49047,49068
9,Florida,623071,993545,1023378,956598,947837,944323
10,Georgia,296980,499187,476815,456792,457293,459860
11,Hawaii,51783,68244,69272,61367,58328,56968
12,Idaho,58644,76998,99901,113245,115259,123597
13,Illinois,623018,748921,713472,650597,626068,604973
14,Indiana,273198,404033,392626,369200,360576,339666
15,Iowa,165360,339036,315424,237013,229452,224341
16,Kansas,156385,188326,187921,191680,187934,186190
17,Kentucky,164183,256447,244950,219870,216868,215826
18,Louisiana,191517,230370,227290,214594,209521,210828
19,Maine,50728,63599,63369,62252,62456,61919
20,Maryland,221952,305358,302485,294032,295200,291356
21,Massachusetts,320012,377241,381253,374979,367735,362741
22,Michigan,480618,605990,575388,517079,500050,476450
23,Minnesota,254632,346864,335747,311536,303941,297523
24,Mississippi,123299,159262,155292,153551,151467,151403
25,Missouri,266802,367032,363123,331955,324162,308402
26,Montana,38481,48446,48424,46067,45714,45207
27,Nebraska,96759,121430,115701,110313,110332,110118
28,Nevada,79053,116743,106854,104845,104809,105916
29,New Hampshire,51990,62442,66770,96588,104321,119473
30,New Jersey,284785,380060,376901,360074,357479,355613
31,New Mexico,96377,147976,141773,124385,120692,115954
32,New York,839423,1059332,1070674,1048058,1033325,1017768
33,North Carolina,358912,516254,508495,490350,488859,489833
34,North Dakota,36899,50003,48196,46568,46669,46064
35,Ohio,469999,650546,619564,574217,567491,560843
36,Oklahoma,157021,204217,202092,185545,182743,177139
37,Oregon,160805,221825,225425,206895,204626,198198
38,Pennsylvania,506948,664384,640440,598510,584400,573544
39,Rhode Island,65067,73974,73338,71972,72496,71401
40,South Carolina,161699,231375,233835,223671,220218,219949
41,South Dakota,37497,50605,49259,46901,46726,46809
42,Tennessee,230376,302248,295126,277409,274666,275340
43,Texas,905649,1360528,1367078,1390972,1412148,1437386
44,Utah,149954,231721,239025,259006,272520,287468
45,Vermont,30809,38608,37792,37298,37784,37233
46,Virginia,325395,486820,492564,474525,462335,457708
47,Washington,290292,351863,329638,328355,329698,331253
48,West Virginia,76556,128335,136166,127619,123779,120976
49,Wisconsin,271839,341698,329778,310350,302211,301126
50,Wyoming,26811,35466,35103,31602,30787,30409
